date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,1,0,0
2020-03-18,3,0,0
2020-03-19,2,0,0
2020-03-20,9,0,0
2020-03-21,5,0,0
2020-03-22,0,0,0
2020-03-23,13,0,0
2020-03-24,3,0,0
2020-03-25,2,0,0
2020-03-26,6,0,0
2020-03-27,1,0,0
2020-03-28,6,0,0
2020-03-29,1,0,0
2020-03-30,2,0,0
2020-03-31,1,0,0
2020-04-01,5,0,0
2020-04-02,7,1,0
2020-04-03,0,0,0
2020-04-04,6,0,0
2020-04-05,1,0,10
2020-04-06,0,1,0
2020-04-07,14,1,0
2020-04-08,0,2,0
2020-04-09,14,0,0
2020-04-10,0,0,0
2020-04-11,0,0,0
2020-04-12,0,0,0
2020-04-13,11,1,0
2020-04-14,27,0,39
2020-04-15,0,0,9
2020-04-16,0,0,0
2020-04-17,10,0,0
2020-04-18,36,0,6
2020-04-19,0,0,0
2020-04-20,0,0,0
2020-04-21,16,3,18
2020-04-22,0,0,0
2020-04-23,11,1,23
2020-04-24,14,1,8
2020-04-25,0,0,0
2020-04-26,15,0,0
2020-04-27,10,0,33
2020-04-28,0,0,0
2020-04-29,10,0,0
2020-04-30,25,0,0
2020-05-01,11,0,0
2020-05-02,13,0,0
2020-05-03,0,0,0
2020-05-04,0,12,0
2020-05-05,28,0,0
2020-05-06,8,0,0
2020-05-07,20,0,0
2020-05-08,13,0,0
