date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,3,0,0
2020-03-21,4,0,0
2020-03-22,10,0,0
2020-03-23,0,0,0
2020-03-24,1,0,0
2020-03-25,1,0,0
2020-03-26,5,0,0
2020-03-27,3,0,0
2020-03-28,3,1,0
2020-03-29,3,0,0
2020-03-30,3,0,0
2020-03-31,5,0,0
2020-04-01,4,0,18
2020-04-02,6,1,4
2020-04-03,6,0,0
2020-04-04,4,1,0
2020-04-05,8,0,3
2020-04-06,1,0,2
2020-04-07,2,1,0
2020-04-08,4,0,0
2020-04-09,7,1,5
2020-04-10,1,2,0
2020-04-11,3,0,0
2020-04-12,0,1,4
2020-04-13,6,1,2
2020-04-14,0,0,2
2020-04-15,7,1,2
2020-04-16,0,0,7
2020-04-17,1,0,0
2020-04-18,4,1,4
2020-04-19,2,0,0
2020-04-20,13,1,1
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,18,1,12
2020-04-24,4,0,6
2020-04-25,0,0,0
2020-04-26,10,0,5
2020-04-27,2,0,4
2020-04-28,0,0,0
2020-04-29,11,0,0
2020-04-30,5,0,0
2020-05-01,40,0,13
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,16,3,8
2020-05-05,34,0,0
2020-05-06,45,0,11
2020-05-07,0,0,0
2020-05-08,0,0,0
