date,confirmed_count,deaths_count,recovered_count
2020-03-01,2,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,1,0,0
2020-03-18,1,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,6,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,3,0,0
2020-03-27,0,0,0
2020-03-28,10,0,0
2020-03-29,3,0,0
2020-03-30,8,0,0
2020-03-31,6,0,0
2020-04-01,10,1,0
2020-04-02,11,0,0
2020-04-03,10,0,0
2020-04-04,15,1,19
2020-04-05,9,0,0
2020-04-06,5,0,0
2020-04-07,18,0,0
2020-04-08,7,0,0
2020-04-09,33,1,11
2020-04-10,14,0,0
2020-04-11,11,0,1
2020-04-12,12,0,11
2020-04-13,11,0,7
2020-04-14,23,1,4
2020-04-15,17,0,5
2020-04-16,3,2,8
2020-04-17,12,0,0
2020-04-18,7,1,10
2020-04-19,7,0,0
2020-04-20,4,1,11
2020-04-21,5,0,0
2020-04-22,17,0,0
2020-04-23,23,3,26
2020-04-24,12,0,14
2020-04-25,28,0,0
2020-04-26,20,3,11
2020-04-27,13,1,10
2020-04-28,14,0,0
2020-04-29,11,0,0
2020-04-30,17,0,0
2020-05-01,12,2,34
2020-05-02,23,0,0
2020-05-03,15,0,0
2020-05-04,61,1,14
2020-05-05,24,0,0
2020-05-06,5,0,25
2020-05-07,30,0,0
2020-05-08,11,2,44
