date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,2,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,2,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,1,0,0
2020-03-27,1,0,0
2020-03-28,1,0,0
2020-03-29,0,0,0
2020-03-30,3,0,0
2020-03-31,6,0,0
2020-04-01,2,0,0
2020-04-02,3,0,0
2020-04-03,2,0,0
2020-04-04,1,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,0,0,0
2020-04-08,7,0,14
2020-04-09,0,0,0
2020-04-10,3,0,0
2020-04-11,9,0,12
2020-04-12,1,0,2
2020-04-13,1,0,0
2020-04-14,21,0,6
2020-04-15,7,0,2
2020-04-16,1,0,3
2020-04-17,3,0,0
2020-04-18,5,0,0
2020-04-19,3,0,0
2020-04-20,1,0,0
2020-04-21,1,0,0
2020-04-22,0,0,0
2020-04-23,25,0,21
2020-04-24,4,5,1
2020-04-25,0,0,0
2020-04-26,2,0,12
2020-04-27,1,0,5
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,12,0,0
2020-05-01,24,0,26
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,17,5,12
2020-05-05,0,0,0
2020-05-06,34,0,5
2020-05-07,0,0,0
2020-05-08,0,0,0
