date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,1,0,0
2020-03-06,3,0,0
2020-03-07,0,0,0
2020-03-08,3,0,0
2020-03-09,10,0,0
2020-03-10,2,0,0
2020-03-11,9,0,0
2020-03-12,13,0,0
2020-03-13,10,0,0
2020-03-14,28,0,0
2020-03-15,19,0,0
2020-03-16,11,0,0
2020-03-17,27,1,0
2020-03-18,142,0,0
2020-03-19,94,2,0
2020-03-20,382,1,0
2020-03-21,480,0,0
2020-03-22,666,25,0
2020-03-23,542,0,0
2020-03-24,427,5,0
2020-03-25,416,3,0
2020-03-26,629,2,0
2020-03-27,743,27,0
2020-03-28,880,7,0
2020-03-29,908,21,0
2020-03-30,899,9,0
2020-03-31,1200,30,0
2020-04-01,1010,23,0
2020-04-02,1033,102,0
2020-04-03,1437,78,0
2020-04-04,1322,30,0
2020-04-05,1052,53,144
2020-04-06,1218,60,0
2020-04-07,994,21,0
2020-04-08,1938,66,88
2020-04-09,1592,67,0
2020-04-10,1372,70,0
2020-04-11,1072,89,23
2020-04-12,969,54,232
2020-04-13,805,64,145
2020-04-14,892,91,132
2020-04-15,1465,56,235
2020-04-16,1057,52,272
2020-04-17,767,57,0
2020-04-18,641,57,258
2020-04-19,833,58,204
2020-04-20,664,48,138
2020-04-21,402,61,95
2020-04-22,476,41,187
2020-04-23,569,40,200
2020-04-24,641,47,0
2020-04-25,1033,40,144
2020-04-26,824,29,0
2020-04-27,243,33,88
2020-04-28,220,27,55
2020-04-29,420,31,0
2020-04-30,349,22,0
2020-05-01,307,20,130
2020-05-02,358,25,119
2020-05-03,261,25,0
2020-05-04,185,22,81
2020-05-05,0,26,37
2020-05-06,385,73,0
2020-05-07,243,13,116
2020-05-08,219,14,0
