date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,1,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,1,0,0
2020-03-20,1,0,0
2020-03-21,1,0,0
2020-03-22,0,0,0
2020-03-23,2,0,0
2020-03-24,0,0,0
2020-03-25,4,0,0
2020-03-26,1,0,0
2020-03-27,0,0,0
2020-03-28,1,0,0
2020-03-29,2,0,0
2020-03-30,3,0,4
2020-03-31,4,0,1
2020-04-01,4,0,0
2020-04-02,1,0,0
2020-04-03,4,0,0
2020-04-04,1,0,2
2020-04-05,2,0,0
2020-04-06,3,0,0
2020-04-07,1,0,0
2020-04-08,2,0,0
2020-04-09,1,0,0
2020-04-10,3,1,0
2020-04-11,0,1,0
2020-04-12,0,0,13
2020-04-13,1,1,0
2020-04-14,1,0,9
2020-04-15,0,0,2
2020-04-16,1,0,3
2020-04-17,1,0,0
2020-04-18,1,0,0
2020-04-19,1,0,0
2020-04-20,7,0,4
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,4,1,6
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,5,0,2
2020-04-27,1,0,0
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,0,0,0
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,8,0,9
2020-05-05,0,0,0
2020-05-06,38,0,39
2020-05-07,0,0,0
2020-05-08,0,0,0
