date,confirmed_count,deaths_count,recovered_count
2020-03-01,1,0,0
2020-03-02,0,0,0
2020-03-03,1,0,0
2020-03-04,0,0,0
2020-03-05,2,0,0
2020-03-06,1,0,0
2020-03-07,7,0,0
2020-03-08,1,0,0
2020-03-09,6,0,0
2020-03-10,17,0,0
2020-03-11,17,0,0
2020-03-12,42,0,0
2020-03-13,59,0,0
2020-03-14,115,1,0
2020-03-15,60,4,0
2020-03-16,134,2,0
2020-03-17,181,3,0
2020-03-18,695,1,0
2020-03-19,2615,15,0
2020-03-20,1729,17,0
2020-03-21,2432,16,0
2020-03-22,2649,41,0
2020-03-23,2355,27,0
2020-03-24,2478,69,0
2020-03-25,4414,88,0
2020-03-26,3101,85,0
2020-03-27,3585,85,0
2020-03-28,4068,222,0
2020-03-29,2709,104,0
2020-03-30,4613,138,0
2020-03-31,5032,182,0
2020-04-01,4320,278,0
2020-04-02,4370,388,0
2020-04-03,5350,481,0
2020-04-04,6147,387,0
2020-04-05,4245,433,0
2020-04-06,4630,450,0
2020-04-07,4695,535,0
2020-04-08,4927,569,0
2020-04-09,5225,600,0
2020-04-10,7381,599,0
2020-04-11,4306,547,0
2020-04-12,5695,531,0
2020-04-13,2353,451,0
2020-04-14,7480,4334,0
2020-04-15,8118,831,0
2020-04-16,4699,293,0
2020-04-17,4601,741,0
2020-04-18,3866,383,0
2020-04-19,3173,520,0
2020-04-20,2535,322,0
2020-04-21,2955,749,0
2020-04-22,3107,347,0
2020-04-23,3679,519,0
2020-04-24,4618,277,0
2020-04-25,4621,254,0
2020-04-26,3352,457,0
2020-04-27,2150,139,0
2020-04-28,2016,389,0
2020-04-29,2410,172,0
2020-04-30,2637,202,0
2020-05-01,2141,121,0
2020-05-02,2664,197,0
2020-05-03,2133,329,0
2020-05-04,1306,132,0
2020-05-05,1233,141,0
2020-05-06,1453,276,0
2020-05-07,1884,152,0
2020-05-08,1502,75,0
