date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,1,0,0
2020-03-18,0,0,0
2020-03-19,3,0,0
2020-03-20,0,0,0
2020-03-21,5,0,0
2020-03-22,0,0,0
2020-03-23,1,0,0
2020-03-24,0,0,0
2020-03-25,2,0,0
2020-03-26,2,0,0
2020-03-27,9,0,3
2020-03-28,10,0,0
2020-03-29,5,0,0
2020-03-30,3,0,0
2020-03-31,1,0,0
2020-04-01,4,0,0
2020-04-02,45,0,0
2020-04-03,3,0,0
2020-04-04,7,0,0
2020-04-05,15,0,0
2020-04-06,4,0,0
2020-04-07,6,1,0
2020-04-08,29,0,48
2020-04-09,0,3,0
2020-04-10,1,0,0
2020-04-11,38,0,0
2020-04-12,0,0,0
2020-04-13,0,1,16
2020-04-14,22,0,22
2020-04-15,13,4,10
2020-04-16,-2,0,17
2020-04-17,0,2,0
2020-04-18,7,2,0
2020-04-19,12,2,0
2020-04-20,9,1,17
2020-04-21,5,0,0
2020-04-22,8,0,0
2020-04-23,58,2,21
2020-04-24,33,3,21
2020-04-25,0,0,0
2020-04-26,9,0,0
2020-04-27,42,0,7
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,10,0,0
2020-05-01,68,4,52
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,41,3,21
2020-05-05,0,0,0
2020-05-06,20,0,0
2020-05-07,39,0,0
2020-05-08,17,0,0
