date,confirmed_count,deaths_count,recovered_count
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,14
2020-03-12,0,0,0
2020-03-13,0,0,0
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,4,1,0
2020-03-24,0,0,0
2020-03-25,3,0,0
2020-03-26,2,0,0
2020-03-27,8,0,0
2020-03-28,12,0,0
2020-03-29,13,0,0
2020-03-30,7,0,10
2020-03-31,13,1,0
2020-04-01,6,0,0
2020-04-02,9,0,0
2020-04-03,1,0,0
2020-04-04,7,0,32
2020-04-05,4,0,0
2020-04-06,3,0,0
2020-04-07,0,0,0
2020-04-08,0,1,0
2020-04-09,10,0,0
2020-04-10,0,0,0
2020-04-11,3,0,20
2020-04-12,0,0,3
2020-04-13,5,0,0
2020-04-14,0,0,2
2020-04-15,0,0,2
2020-04-16,0,0,5
2020-04-17,7,2,0
2020-04-18,0,0,6
2020-04-19,0,0,0
2020-04-20,0,0,5
2020-04-21,4,0,2
2020-04-22,0,0,0
2020-04-23,4,0,5
2020-04-24,2,0,1
2020-04-25,0,0,0
2020-04-26,0,0,0
2020-04-27,6,0,1
2020-04-28,0,0,0
2020-04-29,0,0,0
2020-04-30,0,0,0
2020-05-01,36,0,5
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,77,1,7
2020-05-05,0,0,0
2020-05-06,11,0,8
2020-05-07,0,0,0
2020-05-08,0,0,0
