date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,8,0
2020-03-28,13,0
2020-03-29,18,0
2020-03-30,18,0
2020-03-31,18,0
2020-04-01,18,0
2020-04-02,18,0
2020-04-03,19,0
2020-04-04,20,0
2020-04-05,25,0
2020-04-06,26,0
2020-04-07,31,0
2020-04-08,33,0
2020-04-09,40,0
2020-04-10,43,0
2020-04-11,44,0
2020-04-12,46,0
2020-04-13,48,0
2020-04-14,77,0
