date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,1,0
2020-03-03,1,0
2020-03-04,1,0
2020-03-05,4,0
2020-03-06,11,0
2020-03-07,11,0
2020-03-08,12,0
2020-03-09,19,0
2020-03-10,25,0
2020-03-11,55,0
2020-03-12,95,0
2020-03-13,154,0
2020-03-14,269,1
2020-03-15,269,1
2020-03-16,463,7
2020-03-17,814,7
2020-03-18,1871,11
2020-03-19,3954,26
2020-03-20,5151,29
2020-03-21,7530,45
2020-03-22,9654,63
2020-03-23,12305,99
2020-03-24,14904,131
2020-03-25,17856,199
2020-03-26,21873,281
2020-03-27,25573,366
2020-03-28,29776,672
2020-03-29,33768,776
2020-03-30,37453,914
2020-03-31,43119,1096
2020-04-01,47439,1374
2020-04-02,51809,1762
2020-04-03,57159,2243
2020-04-04,63306,2630
2020-04-05,67551,3048
2020-04-06,72181,3485
2020-04-07,76876,4009
2020-04-08,81803,4571
2020-04-09,87028,5150
2020-04-10,92384,5820
2020-04-11,98308,6367
2020-04-12,103208,6898
2020-04-13,106763,7349
2020-04-14,110465,7905
