date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,10,0
2020-03-29,10,0
2020-03-30,13,0
2020-03-31,15,0
2020-04-01,18,0
2020-04-02,18,1
2020-04-03,18,1
2020-04-04,18,1
2020-04-05,24,1
2020-04-06,24,1
2020-04-07,24,2
2020-04-08,29,2
2020-04-09,29,2
2020-04-10,29,2
2020-04-11,30,2
2020-04-12,34,2
2020-04-13,34,3
2020-04-14,34,3
