date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,2,0
2020-03-17,2,0
2020-03-18,2,0
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,6,0
2020-03-30,7,0
2020-03-31,9,1
2020-04-01,10,1
2020-04-02,12,1
2020-04-03,14,1
2020-04-04,16,1
2020-04-05,16,1
2020-04-06,17,1
2020-04-07,17,1
2020-04-08,21,1
2020-04-09,22,1
2020-04-10,26,1
2020-04-11,26,1
2020-04-12,26,1
2020-04-13,26,1
2020-04-14,28,1
