date,confirmed_cases,deaths
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,1,0
2020-03-18,2,0
2020-03-19,2,0
2020-03-20,2,0
2020-03-21,4,0
2020-03-22,4,0
2020-03-23,5,0
2020-03-24,10,0
2020-03-25,10,0
2020-03-26,13,0
2020-03-27,13,0
2020-03-28,23,0
2020-03-29,26,0
2020-03-30,34,0
2020-03-31,34,0
2020-04-01,50,1
2020-04-02,61,1
2020-04-03,71,1
2020-04-04,80,1
2020-04-05,95,2
2020-04-06,100,2
2020-04-07,118,2
2020-04-08,125,2
2020-04-09,158,3
2020-04-10,172,3
2020-04-11,181,3
2020-04-12,195,3
2020-04-13,206,3
2020-04-14,229,4
